1,1,5605419,5630525
2,1,8390121,8625340
3,1,15936285,15955563
4,1,33688338,33923847
5,1,71642715,72362529
6,1,85614073,85718708
7,1,93411689,93542922
8,1,98142332,98904658
9,1,163651245,163681557
10,1,173193507,173560898
11,1,178277534,178473437
12,1,196384265,196492556
13,1,243480047,244351285
14,2,36479582,36485679
15,2,36504229,36609700
16,2,39406089,39528843
17,2,123437216,124099377
18,2,148551825,148776531
19,2,187106090,187320896
20,2,196826267,197029992
21,2,201504767,201710498
22,2,204829843,205404221
23,2,205759761,206050327
24,2,212350619,212646410
25,2,238798877,239766877
26,2,241030756,241119408
27,3,9892654,9937816
28,3,48672658,48762223
29,3,61256881,64746245
30,3,71230702,71608378
31,3,76679555,76782870
32,3,76898001,77270731
33,3,83939038,83961744
34,3,100426169,100870593
35,3,117155300,119703701
36,3,120872435,120890093
37,3,125646552,127362898
38,3,176280750,176314688
39,3,176384088,176570578
40,3,188459685,189202167
41,4,7825252,7955331
42,4,42693829,44842401
43,4,79939894,80762301
44,4,174600962,174643317
45,5,7962907,7989153
46,5,9130887,9363170
47,5,58571441,58744184
48,5,59362416,59407695
49,5,64096336,64486099
50,5,65258240,65302801
51,5,94045536,94232470
52,5,95252411,95501405
53,5,97837308,97909166
54,6,20782921,20785211
55,6,26313038,26314278
56,6,37731544,37897299
57,6,73445011,73902596
58,6,86265244,86297670
59,6,91701301,91726970
60,6,93939108,93957737
61,6,101155829,101379140
62,6,101573321,102144377
63,6,130155575,130317668
64,6,138354935,138355990
65,7,8008914,8078539
66,7,31758490,31871079
67,7,65742344,93578688
68,7,68702573,69933565
69,7,77749883,78416699
70,7,78518662,158815293
71,7,83516888,83540412
72,7,110533844,110634039
73,7,110555831,110620072
74,7,130251745,130836964
75,7,132606722,132962682
76,8,12996601,13089100
77,8,61625095,61684562
78,8,89548789,89972648
79,8,100005444,100204148
80,8,139687936,141713358
81,8,141202813,141253182
82,8,141721647,142483508
83,9,590,35695745
84,9,176603,30945393
85,9,1462542,2437910
86,9,21493821,22057830
87,9,100198768,100534035
88,9,125190651,125313623
89,9,127398165,127494494
90,10,39137918,39194226
91,10,52369417,53074019
92,10,53639426,53653390
93,10,56396946,56427647
94,10,75140950,75572183
95,10,79093116,79159021
96,10,102712906,102835231
97,10,127727920,128173298
98,10,131812562,131906600
99,11,98399232,100091099
100,11,102856185,103050971
101,11,125659053,125696284
102,11,126124400,126293797
103,12,1102632,1461160
104,12,1468484,1504429
105,12,14961454,14979195
106,12,21312610,21316780
107,12,36357175,36411114
108,12,68288364,68291801
109,12,75119015,75262673
110,12,76994344,77563676
111,12,77015868,77711241
112,12,97941000,98092526
113,13,35108239,35118281
114,13,47117281,47475186
115,13,54420373,54555030
116,13,59239397,59327002
117,13,75013990,75148577
118,13,82064001,82070119
119,13,93566637,94168042
120,13,97224357,97271034
121,13,102492286,102524156
122,14,27308320,27330006
123,14,36806456,37722998
124,14,49157503,49187820
125,14,49931743,50003955
126,14,54125770,54239853
127,14,58265492,58309053
128,14,64069791,64362423
129,14,66809038,68357236
130,14,84130826,84265916
131,14,106317891,106360098
132,15,57933398,58474968
133,15,68615994,68928381
134,15,75275509,75393496
135,15,81123993,81294714
136,15,83804870,84063308
137,15,87543226,87617686
138,16,77108818,77435119
139,16,81769899,81872085
140,16,81998903,82019054
141,17,14292694,14345441
142,17,32944946,32996556
143,18,31954005,32142971
144,18,36212896,36227656
145,18,64195537,64218445
146,19,3841641,7066573
147,19,13780877,13837951
148,19,41720383,41977233
149,20,14712447,14781762
150,20,15359170,15383564
151,21,19324253,20013386
152,21,35157609,35272817
153,22,27499420,27632906
154,22,32233083,49590301
155,22,41702316,41803606
156,23,29030410,29191281
157,23,35503107,41742892
158,23,95812910,95879511
159,23,96672858,104057801
